Abbaretz;-169.69720307658417;5722.398274900516;TRAINSTATION
Abbasanta;981.3978260216451;4712.8780952942125;TRAINSTATION
Abbasi;5130.013913403828;4437.86027287881;TRAINSTATION
Abbesses;260.257112360555;5911.456928008563;TRAINSTATION
Abbeville;203.06705747528;6087.0573542662305;TRAINSTATION
Abbey Wood;13.409011632606665;6290.480951012911;TRAINSTATION
Abbiategrasso;993.03607850031;5421.49434753813;TRAINSTATION
Abbotsford;-13611.754371874928;5944.765927622846;TRAINSTATION
Abbotsford Airport;-13621.164326619386;5931.628538532934;AIRPORT
Abbott;-6545.915771542623;-4089.86567715012;TRAINSTATION
Abcoude;554.07958954302;6407.34444432886;TRAINSTATION
Abd Alhai Shaheen Buses;3949.502374674207;3663.5648503797133;TRAINSTATION
Abdo Basha;3481.73323980002;3443.954382468821;TRAINSTATION
Abdol Abad;5717.319922180532;4134.929967291829;TRAINSTATION
Abdullah Hukum;11318.178015568548;346.7156395539198;TRAINSTATION
Abdulla Qodirii;7712.4101936525085;4870.274607939479;TRAINSTATION
Abdulpur Junction;9904.294324153925;2749.158644072977;TRAINSTATION
Abdul Rachman Saleh Airport;12547.376095556358;-882.7058466799106;AIRPORT
Abe;14949.327304973742;4101.588680707529;TRAINSTATION
Abeche Airport;2320.376804050197;1548.535708733443;AIRPORT
Abeid Amani Karume International Airport;4366.495849861634;-692.3428666054048;AIRPORT
Abejera (ABANDONADA);-681.4884546945926;4933.811527881271;TRAINSTATION
Abejera (apd.);-683.7033340924876;4935.280370476743;TRAINSTATION
Abekawa;15402.637640881108;4047.0156652302953;TRAINSTATION
Abel;-6902.333466056035;-4132.327833627167;TRAINSTATION
Abela;-952.0511693712742;4433.237385879507;TRAINSTATION
Abel Santamaria Airport;-8899.281305360922;2541.756260706985;AIRPORT
Abemama Atoll Airport;19350.555332606433;54.54814510884491;AIRPORT
Abenden;720.9573147985692;6169.981095316418;TRAINSTATION
Abeno;15085.12537399655;4009.4670061243655;TRAINSTATION
Abensberg;1318.7533822890907;5902.13065208891;TRAINSTATION
Aber;-359.5688932876642;6302.907506997333;TRAINSTATION
Abercynon;-370.6528526214733;6312.948987542327;TRAINSTATION
Aberdare;-383.1431333574059;6323.523838169409;TRAINSTATION
Aberdeen;-8478.44638112929;4631.980542086487;TRAINSTATION
Aberdeen Dyce Airport;-244.655740581399;7165.74006545358;AIRPORT
Aberdeen-Matawan;-8262.478374181372;4751.388534523746;TRAINSTATION
Aberdeen Regional Airport;-10956.264600877003;5428.60147174203;AIRPORT
Aberdeen Road;2706.041533574546;-3773.542686023908;TRAINSTATION
Aberdour;-367.4379790979875;6984.491637051342;TRAINSTATION
Aberdovey;-451.4864439600525;6447.036344019116;TRAINSTATION
Aberfeldy;3208.733463152026;-3220.1517020507135;TRAINSTATION
Abergele and Pensarn;-398.81912191000754;6559.839227538215;TRAINSTATION
Abergwili Junction;-476.53710331582005;6346.372004583114;TRAINSTATION
Abergynolwyn;-441.48722628084;6461.162716241215;TRAINSTATION
Abernéssia (Campos do Jordão);-5075.267521735722;-2570.522266125922;TRAINSTATION
Aberystwyth;-454.3549468852175;6427.540208596331;TRAINSTATION
Abfaltersbach;1392.7329879979568;5609.8158591606;TRAINSTATION
Abhanpur Junction;9099.856329560536;2374.002520224797;TRAINSTATION
Abha Regional Airport;4748.5111342156215;2049.385983281343;AIRPORT
Abhaypuri;10090.093524345772;2997.672487182705;TRAINSTATION
Abidjan-Lagune;-447.5701797154226;591.3200181389461;TRAINSTATION
Abiki;15014.536960754021;4037.0641501000505;TRAINSTATION
Abiko;15085.202429348685;4003.883553818397;TRAINSTATION
Abikocho;15084.518159565358;4004.3757705335925;TRAINSTATION
Abikomae;15083.450872807052;4004.1945665752323;TRAINSTATION
Abilene and Northern Railway Company Depot;-11101.840873186262;3736.0598198873495;TRAINSTATION
Abilene Regional Airport;-11096.538439083695;3731.604875491729;AIRPORT
Abington;-7896.379557436185;4974.987080629358;TRAINSTATION
Abira;15787.904605424179;5069.575451247194;TRAINSTATION
Abisko Östra;2096.011832436129;9109.520654160755;TRAINSTATION
Abisko turiststation;2090.8577511039116;9111.149030396527;TRAINSTATION
Ablaña;-646.3634258707885;5130.786346058004;TRAINSTATION
Abla y Abrucena;-309.8548550876375;4329.510796224355;TRAINSTATION
Ablon;269.33242278673083;5888.689184802978;TRAINSTATION
Abnet;4311.781674944971;1005.2129529358381;TRAINSTATION
Abobo;-447.62895640702254;602.3026395584326;TRAINSTATION
Abohar;8259.354292835287;3452.928062861194;TRAINSTATION
Abo Junction;4315.436761398253;996.6735942792942;TRAINSTATION
Aboño;-637.1380011101;5169.70633078344;TRAINSTATION
Aboño/Musel;-636.4928489961459;5169.730745352491;TRAINSTATION
Abony;2228.176232875854;5668.6564674990805;TRAINSTATION
Aboozar;5750.848740813326;3762.214283623336;TRAINSTATION
Aboshi;14981.854281577387;4031.0617275931077;TRAINSTATION
Abovyan;4966.75640933677;4731.646892772708;TRAINSTATION
Abqaiq;5528.653198675047;2947.0128008229008;TRAINSTATION
Abqaiq Airport;5520.4673735365595;2944.5557266228598;AIRPORT
Abra;-12516.473477613023;4042.4609996513022;TRAINSTATION
Abraham González International Airport;-11847.622273713281;3636.06105325784;AIRPORT
Abraham Lincoln Capital Airport;-9982.898488863439;4675.839195616904;AIRPORT
Abrahamsberg;1998.6038040596559;7511.134840269529;TRAINSTATION
Abrami;2491.326238262199;5688.57250266142;TRAINSTATION
Abranquil;-7963.1042714980495;-4149.243939622205;TRAINSTATION
